nbr_pol_id,var_pol_nombre,var_pol_cargo,var_pol_salario,var_pol_status
1,Heather Taylor,Sargento,1250,Inactivo
2,Denise Stephenson,Sargento,1250,Activo
3,Diane Conrad,Cabo,1120,Activo
4,Theresa Gibson,Cabo,1120,Activo
5,Karen Byrd,Policia,930,Activo
6,Donald Robinson,Cabo,1120,Activo
7,Sabrina Taylor,Cabo,1120,Inactivo
8,Jade Jackson,Policia,930,Inactivo
9,Heather Reyes,Cabo,1120,Activo
10,Colin Strong,Policia,930,Activo
11,Mike Tran,Policia,930,Inactivo
12,Nancy Reed,Policia,930,Activo
13,Dr. Jason Bailey,Cabo,1120,Inactivo
14,Leah Haynes,Policia,930,Activo
15,Rebecca Aguilar,Policia,930,Activo
16,Joanna Allen,Policia,930,Inactivo
17,Craig Smith,Sargento,1250,Inactivo
18,Robert Roberts,Policia,930,Inactivo
19,Regina Hanson,Sargento,1250,Inactivo
20,Robert Orozco,Sargento,1250,Inactivo
21,Edwin Jackson,Policia,930,Activo
22,Cindy Schneider,Cabo,1120,Activo
23,Paul Thompson,Policia,930,Inactivo
24,Christopher Morgan,Sargento,1250,Activo
25,Eric Meyer,Policia,930,Activo
26,James Shaffer,Policia,930,Inactivo
27,Jason Stevens,Policia,930,Activo
28,Arthur Hunter,Policia,930,Activo
29,Donna Simmons,Cabo,1120,Inactivo
30,Dawn Smith,Sargento,1250,Inactivo
31,Brandon Curry,Policia,930,Activo
32,Michael Herrera,Policia,930,Activo
33,John Brown,Cabo,1120,Activo
34,Kristi Hood,Policia,930,Inactivo
35,Kimberly Cox,Policia,930,Activo
36,Kenneth Dorsey,Sargento,1250,Activo
37,Allen Little,Policia,930,Inactivo
38,Amanda Sellers,Policia,930,Activo
39,Joseph Stevens,Cabo,1120,Activo
40,Todd Trujillo,Cabo,1120,Inactivo
41,Kristen Lopez,Cabo,1120,Inactivo
42,Kyle White,Policia,930,Activo
43,Ernest Jordan,Policia,930,Inactivo
44,Blake Peterson,Policia,930,Activo
45,Jordan Horton,Policia,930,Activo
46,Susan Ferguson,Cabo,1120,Inactivo
47,Stephen Williams,Sargento,1250,Activo
48,Brandi Glass,Sargento,1250,Activo
49,Brianna Roberts,Policia,930,Inactivo
50,Sarah Ruiz,Policia,930,Activo
51,Brenda Trujillo,Policia,930,Inactivo
52,Michael Davis,Policia,930,Activo
53,Michelle Baxter,Policia,930,Activo
54,Kathleen Silva,Policia,930,Inactivo
55,Michelle Shelton,Policia,930,Activo
56,Kathy Jackson,Policia,930,Activo
57,Steven Khan,Cabo,1120,Activo
58,Eric White,Policia,930,Activo
59,Yvonne Williams,Policia,930,Inactivo
60,Lisa Thompson,Cabo,1120,Activo
61,Kayla Henderson,Policia,930,Activo
62,Joshua Smith,Cabo,1120,Activo
63,Megan Hall,Policia,930,Activo
64,David Norris,Sargento,1250,Activo
65,Laura Serrano,Cabo,1120,Activo
66,Christopher Cantu,Policia,930,Activo
67,Mrs. Tracey Meyer DDS,Policia,930,Activo
68,William Gonzalez,Cabo,1120,Activo
69,Natalie Miller,Policia,930,Activo
70,Andrea Campos,Policia,930,Activo
71,Sarah Campbell,Policia,930,Inactivo
72,Cheryl Griffith PhD,Sargento,1250,Activo
73,Joel Becker,Sargento,1250,Inactivo
74,Scott Guerrero,Cabo,1120,Activo
