nbr_ci_id,var_ci_nombre,var_ci_status,nbr_ba_id
1,Sherri Hunt,solter/a,1
2,Jessica Gardner,Divorciado/a,2
3,Mariah Bennett,Divorciado/a,3
4,Nicholas Henderson,casado/a,4
5,Jeremy Diaz,solter/a,5
6,Marcus Riggs,solter/a,6
7,Amanda Hansen,solter/a,7
8,Dakota Bolton,solter/a,8
9,Anita Chandler,Divorciado/a,9
10,Anna Long,casado/a,10
11,Amy Huffman,casado/a,11
12,Anne Jacobson,Divorciado/a,12
13,Julie Hall,solter/a,13
14,Natasha Mcknight,solter/a,14
15,Jessica Torres,Divorciado/a,15
16,Jose Hicks,casado/a,16
17,Johnny Stevens,Viudo/a,17
18,Christine Reid,solter/a,18
19,Amanda Herrera,Viudo/a,19
20,Dr. Kyle Holland,Viudo/a,20
21,Heather Stein,casado/a,21
22,Dylan Ross,solter/a,22
23,Alex Johnson,solter/a,23
24,Jason Gordon,Divorciado/a,24
25,Ryan Duncan,casado/a,25
26,Jared Bates,Divorciado/a,26
27,John Alvarado,Divorciado/a,27
28,Kathy Johnson,casado/a,28
29,Gordon Murphy,casado/a,29
30,Cindy Russell,solter/a,30
31,Michael Macias,casado/a,31
32,John Maldonado,solter/a,32
33,Mark Brown,casado/a,33
34,Nicole Webster,Divorciado/a,34
35,Michael Walker,Viudo/a,35
36,Jean Anderson,solter/a,36
37,George Rogers,solter/a,37
38,Robert Brown,casado/a,38
39,Brooke Fuller,casado/a,39
40,Christopher Rogers,casado/a,40
41,David Peterson,Divorciado/a,41
42,Martha Montoya,Divorciado/a,42
43,Kimberly Jordan,solter/a,43
44,Gabrielle Foster,Divorciado/a,44
45,Debra Silva,solter/a,45
46,George Herrera,casado/a,46
47,Bruce Brown,casado/a,47
48,Ronald Williams,Divorciado/a,48
49,Christopher Ramirez,casado/a,49
50,John Cook,solter/a,50
51,Steven Frederick,solter/a,51
52,Connie Flores,solter/a,52
53,Marc Steele,casado/a,53
54,Antonio Pearson,solter/a,54
55,John Marks,casado/a,55
56,Donald Morgan,solter/a,56
57,Christina Brown,solter/a,57
58,Michelle Hanson,Divorciado/a,58
59,Casey Neal,solter/a,59
60,Tammy Frazier,casado/a,60
61,Jacqueline Clark,Viudo/a,61
62,Kevin Gibson,casado/a,62
63,Tyler Buchanan,Viudo/a,63
64,Kiara Forbes DDS,casado/a,64
65,Matthew Mendoza,Divorciado/a,65
66,Robert Rojas,Viudo/a,66
67,Jennifer Cooper,casado/a,67
68,Tara Wright,casado/a,68
69,Frederick Lewis,casado/a,69
70,Melissa Johnson,solter/a,70
71,Dana Hunter,Divorciado/a,71
72,Ashley Day,solter/a,72
73,Stephanie Key,casado/a,73
74,Denise Pope,solter/a,74
75,Timothy Pena,casado/a,75
76,Dr. Audrey Moon MD,casado/a,76
77,Kelly Wong,casado/a,77
78,Sandra Macias,solter/a,78
79,Kara Davis,solter/a,79
80,Diane Scott,solter/a,80
81,Jesse Wilson,casado/a,81
82,Cindy Black,solter/a,82
83,Brent Arias,solter/a,83
84,Michael Jones,solter/a,84
85,Patricia Murray MD,solter/a,85
86,Douglas Sanchez,casado/a,86
87,Stephen Sanchez,solter/a,87
88,Bryan Miller,casado/a,88
89,Diana Velazquez,solter/a,89
90,Mike Rodriguez,solter/a,90
91,Elizabeth Cole,casado/a,91
92,Julie Dickson,casado/a,92
93,Lacey Kim,solter/a,93
94,Renee Duran,solter/a,94
95,Aaron Griffin,casado/a,95
96,Peter Henderson,solter/a,96
97,Tina Carroll,solter/a,97
98,Ryan Guzman,Divorciado/a,98
99,Jason Andrews,Viudo/a,99
100,Edward Fry,Viudo/a,100
101,Jeffrey Carter,casado/a,101
102,Russell White,casado/a,102
103,Cameron Patterson,solter/a,103
104,Ellen Edwards,casado/a,104
105,Amber Davis,casado/a,105
106,Isaac Terry,solter/a,106
107,Matthew Tate,Divorciado/a,107
108,Christopher Johnson,casado/a,108
109,Kevin Ashley,solter/a,109
110,Brenda Collins,Viudo/a,110
111,Dorothy Yates,casado/a,111
112,Ashley Williams,solter/a,112
113,Cassandra Armstrong,solter/a,113
114,Mr. Joshua Morrow,solter/a,114
