nbr_delin_id,var_delin_nombre,var_delin_pandilla,var_delin_apodo,var_delin_status
1,Patricia Hawkins,North,haynes,Activo
2,Brittany Juarez,Port,travis,Activo
3,Angela Griffin,Lake,merritt,Activo
4,Angel Sexton,East,perry,No Activo
5,Michele Mckenzie,East,watson,Activo
6,Stephanie Lewis,North,fletcher,Activo
7,Louis Miller,West,christensen,Activo
8,David Hall,Port,rogers,Activo
9,Valerie Dixon,Port,lin,Activo
10,Christopher Morse,North,bishop,Activo
11,Patricia Bishop,Lake,taylor,Activo
12,Laura Johnson,North,espinoza-rodriguez,Activo
13,Joseph Nguyen,South,fox-ewing,Activo
14,Susan Olsen,New,hernandez,Activo
15,Cathy Simmons,East,clark,Activo
16,Nicholas Martinez,West,poole-roberts,Activo
17,Jon Young,East,perry,Activo
18,Robert Schultz,Port,taylor-fields,Activo
19,Ashley Lopez,East,potter-johnson,Activo
20,Paul Brandt,West,roberts,Activo
21,Mrs. Dawn Watts MD,North,huerta,Activo
22,Ryan Simmons,Lake,andrade,Activo
23,Elizabeth Rose,Lake,young,Activo
24,Todd Morales,Lake,booker,Activo
25,Stephanie Moore,Port,elliott,Activo
26,Paul Mcdonald,New,williams,Activo
27,James Soto,Lake,david,Activo
28,Marvin Williams,New,brown-davis,Activo
29,Joseph Terry,South,greene,Activo
30,Lori Jenkins,West,rodriguez,Activo
31,Lisa Richards,West,martinez,Activo
32,Lisa Howe,Port,beltran-huynh,Activo
33,Sue Adkins,Port,petersen-elliott,Activo
34,Tabitha Taylor,South,perry-mcneil,Activo
35,Ebony Sanford,North,stephens,Activo
36,George Maddox,Lake,daniels-cooley,Activo
37,Ryan Jenkins,Lake,salazar,Activo
38,Kevin Kim,South,austin,No Activo
39,Kendra Campbell,South,owens,Activo
40,Mr. John Lawson IV,New,hayes,Activo
41,Michael Jackson,Lake,richardson-hunt,Activo
42,Lauren Baker,New,wilson-young,Activo
43,Veronica Blanchard,South,smith-hale,Activo
44,Joel Larson,North,contreras-larson,Activo
45,Amber Gomez,West,bush,Activo
46,Gary Hodges,North,peterson-johnson,Activo
47,Raymond Castillo,Port,stevens,Activo
48,Kelly Frank,Port,taylor-hill,Activo
49,Phillip King,West,burton,Activo
50,Stephanie Smith,East,meadows,Activo
51,Dorothy Thomas,Lake,white-johnson,Activo
52,Samuel Guzman,West,sanchez-wise,Activo
53,Jeff Dixon,New,ward-schneider,Activo
54,Charles Fitzpatrick,North,downs-solis,Activo
55,Denise French,West,johnson,Activo
56,Zachary Butler,East,davis-hooper,Activo
57,Mrs. Shannon Carney,West,grimes-randall,Activo
58,Mark Barber,Port,simpson,Activo
59,Mary Wilson,North,anderson,Activo
60,Penny Hooper,East,conway,Activo
61,Angela Brown,Port,smith,Activo
62,Kathleen Alexander DDS,West,warren-smith,Activo
63,Martin Murphy,Lake,lewis-cohen,No Activo
64,Natalie Cook,Lake,becker,Activo
65,Valerie Brown,Port,newman-giles,Activo
66,Jeffery Moore,East,wood,Activo
67,Michael Sanford,West,daniels,Activo
68,David Porter,South,hill,Activo
69,Michael Brown,Port,hooper-hickman,Activo
70,Tiffany Campbell,New,robinson,Activo
71,David Garcia,South,miller-taylor,Activo
72,Robert Garcia,Lake,oliver,Activo
73,Eric Newman,West,richardson,Activo
74,Derek Keith,East,smith-hall,Activo
75,Brian Singh,New,dunn,Activo
76,Michael Gibbs,Lake,david,Activo
77,Patrick Tucker,Lake,nguyen,Activo
78,Laura Moore,West,montoya,Activo
79,Gary Miles,South,smith-williams,Activo
80,Ian Larson,East,jones-leon,Activo
81,Rodney Sandoval,Port,mccoy,Activo
82,Jeffrey Barrett,Lake,edwards-chambers,Activo
83,Jennifer Turner,South,pennington-cohen,Activo
84,Cindy Avery,South,nichols,Activo
85,Bruce Key,North,miller,Activo
86,Mark Mitchell,Lake,palmer,Activo
87,Tanner Medina,Port,hubbard-dorsey,Activo
88,Brandon Hurst,Port,barnes,Activo
89,Lori Sawyer,Port,figueroa,Activo
90,Breanna Simmons,Port,ibarra,Activo
91,Joshua Baker,South,quinn,Activo
92,Karen Parker,South,dorsey-petty,Activo
93,Jamie Hanson,New,evans,Activo
94,Deanna Henry,South,soto-rose,Activo
95,Brittney Romero,Lake,small,Activo
96,Dr. Robert Stanley,East,griffin,No Activo
97,Mark Day,New,davis,Activo
98,Kelly Cordova,South,johnson-herring,Activo
99,Michael Wilcox,Port,davidson,Activo
100,Hayley Mullen,West,johnson,Activo
101,Adam Collins,Lake,williams,Activo
102,Laura Hughes,East,hall,No Activo
103,Ross Avila,East,bennett-clark,Activo
104,Samantha Peters,West,guerra-zimmerman,Activo
105,Ana Wise,East,daniels,Activo
106,Mrs. Carrie Clark,New,baker,Activo
107,Edward Johnson,North,ballard-stevens,Activo
108,Emily Love,South,gardner-parker,Activo
109,William Mack,North,watson-blackwell,Activo
110,Kelly Webb,New,hernandez,Activo
111,Whitney Newman,East,fisher-patterson,Activo
112,Tyler Campbell,Port,jones,Activo
113,Thomas Fox,Lake,dennis,Activo
