nbr_inc_id,var_inc_nombre,var_inc_fecha,var_inc_status,nbr_ci_id
1,Hall,2021-04-10,Caso activo,1
2,Rodriguez,2022-01-18,Caso activo,2
3,Allen,2020-02-28,Caso cerrado,3
4,Conway,2020-08-27,Caso Archivado,4
5,Vargas,2020-07-15,Caso cerrado,5
6,Joyce,2022-04-06,Caso cerrado,6
7,Martinez,2020-10-27,Caso activo,7
8,Hicks,2021-04-11,Caso activo,8
9,White,2022-12-03,Caso activo,9
10,Ford,2022-09-10,Caso activo,10
11,Mccarthy,2022-01-12,Caso cerrado,11
12,Anderson,2020-03-06,Caso Archivado,12
13,Smith,2021-06-30,Caso cerrado,13
14,Simpson,2022-12-01,Caso Archivado,14
15,Taylor,2020-11-19,Caso Archivado,15
16,Bush,2020-04-23,Caso activo,16
17,Stanley,2020-05-18,Caso activo,17
18,Morrison,2021-01-26,Caso activo,18
19,Peterson,2022-07-09,Caso Archivado,19
20,Lee,2021-10-10,Caso activo,20
21,Barrett,2020-01-23,Caso activo,21
22,Martinez,2022-05-25,Caso cerrado,22
23,Hudson,2021-07-03,Caso activo,23
24,Bell,2022-04-25,Caso activo,24
25,Clark,2021-01-19,Caso activo,25
26,Thomas,2021-05-26,Caso Archivado,26
27,Cole,2021-10-25,Caso Archivado,27
28,Moreno,2020-07-03,Caso activo,28
29,Wilson,2020-04-14,Caso Archivado,29
30,Willis,2020-03-01,Caso Archivado,30
31,Lee,2021-04-19,Caso cerrado,31
32,Wilson,2020-07-18,Caso cerrado,32
33,Mcclain,2020-05-02,Caso Archivado,33
34,Morales,2021-10-17,Caso activo,34
35,Flynn,2020-06-09,Caso cerrado,35
36,Mcmillan,2021-12-14,Caso Archivado,36
37,Johnson,2020-11-16,Caso cerrado,37
38,Sullivan,2020-01-11,Caso activo,38
39,Robinson,2023-01-01,Caso Archivado,39
40,Campbell,2020-09-17,Caso Archivado,40
41,Parker,2021-04-13,Caso activo,41
42,Herring,2022-08-27,Caso Archivado,42
43,Sawyer,2020-03-26,Caso activo,43
44,Matthews,2020-01-15,Caso activo,44
45,Bennett,2020-03-19,Caso Archivado,45
46,Hunter,2022-08-29,Caso activo,46
47,Santana,2021-03-02,Caso activo,47
48,Butler,2022-12-04,Caso cerrado,48
49,Dougherty,2022-11-27,Caso activo,49
50,Richards,2020-09-16,Caso cerrado,50
51,Reed,2021-09-14,Caso activo,51
52,Walker,2020-09-07,Caso activo,52
53,Roberts,2022-02-12,Caso activo,53
54,Ayers,2020-11-23,Caso activo,54
55,Fox,2021-12-28,Caso activo,55
56,Rodriguez,2022-11-18,Caso activo,56
57,Leblanc,2020-10-03,Caso Archivado,57
58,Brock,2021-09-09,Caso cerrado,58
59,Norton,2021-05-23,Caso activo,59
60,Thomas,2020-06-16,Caso activo,60
61,Quinn,2021-01-01,Caso activo,61
62,Reed,2021-03-01,Caso Archivado,62
63,Simmons,2022-07-09,Caso activo,63
64,Evans,2022-04-20,Caso Archivado,64
65,Martinez,2021-09-12,Caso Archivado,65
66,Garcia,2021-02-16,Caso activo,66
67,Hoffman,2020-09-06,Caso activo,67
68,Ramirez,2021-02-25,Caso activo,68
69,Ramsey,2020-06-03,Caso Archivado,69
70,Carter,2022-04-24,Caso Archivado,70
71,Blackburn,2022-08-24,Caso Archivado,71
72,Mejia,2020-09-06,Caso Archivado,72
73,Webster,2022-08-27,Caso Archivado,73
74,Hayes,2022-11-01,Caso Archivado,74
75,Wilson,2021-03-27,Caso cerrado,75
76,Bryant,2020-03-21,Caso cerrado,76
77,Tran,2020-12-13,Caso activo,77
78,Clark,2021-08-12,Caso activo,78
79,Thompson,2022-10-01,Caso activo,79
80,Benson,2020-01-17,Caso cerrado,80
81,Henry,2022-05-30,Caso Archivado,81
82,Harris,2022-08-27,Caso Archivado,82
83,Johnston,2021-10-15,Caso activo,83
84,Williams,2022-06-09,Caso activo,84
85,Gonzales,2021-01-27,Caso Archivado,85
86,Burnett,2020-04-25,Caso activo,86
87,Johnson,2022-08-05,Caso activo,87
88,Weeks,2022-04-21,Caso activo,88
89,Wright,2020-10-29,Caso activo,89
